LaTeXFormula, PlainFormula, gly, m
$$2\hbar^2/(G.m_e.m_p.m_n)$$, 2*hbar**2/(G_s*m_e*m_p*m_n), 13.80047597102314e+9, 1.3056258355517771e+26
$$ƛ_e.exp((e^{4e-1/a}-ln2(P^4/a^3 ))/2)^{1/2}$$, np.exp(np.sqrt((e**(4*e-1/a)-np.log(P**4/a**3)**2)/2))*lambdabare, 13.81e9,  	1.306718550184196e+26 	
$$ƛ_e^2/l_P(j/16)^{16}(e^e)^2d_e\sqrt(2)$$, 	(lambdabare**2/l_P)*((j/16)**16)*( e**e )**2*d_e*np.sqrt(2), 13.81e9,  	1.306718550184196e+26 	
$$((a/\sqrt(137)(4\pi.F)^2)ƛ_e^4l_{ph}^3(ƛ_{CMB}/l_P)^8)^{1/7}$$, ((a/(np.sqrt(137)*(4*np.pi*F)**2))*(lambdabare**4)*(l_ph**3)*(lambdabar_cmb/l_P)**8)**(1/7), 13.8117e9, 1.3062424977649562e+26
$$ƛ_Fe(Pe^e)^2/\sqrt(pn)$$, lambdabar_F*e*(P*e**e)**2/np.sqrt(p*n), 13.8126e9, 1.306774097292284e+26
$$(ƛ_e^2/l_P)(j/16)^16( e^e )^2.d_e\sqrt(2)$$, (lambdabare**2/l_P)(j/16)**16( e**e )**2*d_e*np.sqrt(2), 13.8120e9, 1.3067153891523966e+26
$$((a/\sqrt(137)(4\pi F)^2)ƛ_e^4 l_ph^3(\lambda_CMB/l_P)^8 )^(1/7)$$, ((a/np.sqrt(137)*(4*np.pi*F)**2)*lambdabare**4*l_ph**3*(lambdabar_CMB/l_P)**8 )**(1/7), 13.81189e9, 1.3067153891523966e+26
$$2\beta ƛ_ej^{17}(4\pi)^2\sqrt(137)$$, 2*beta*lambdabare*(j**17)*(4*np.pi)**2*np.sqrt(137),  13.81198e9, 1.3067153577444422e+26
$$ƛ_e(3j^j /2H)^{1/6}$$, lambdabare*(3*j**j /(2*H))**(1/6), 13.81199e9, 1.3067153891523966e+26
$$(\beta FP^{3/2}(n/p)^{7/2}/2\pi).ƛ_e$$, beta*F*P**(3/2)*(n/p)**(7/2)/(2*np.pi)*lambdabare, 13.81198e9, 1.3067155838671086e+26
$$exp(2^{6+1/2})/6$$, (constants.hbar/(constants.m_e*constants.c))*np.exp(2**(6+(1/2)))/6, 13.821014095558315e+9, 1.307568892158173e+26
$$4P^3l_{Wi}ƛ_e/R_N$$, (4*P**3*l_wi*lambdabare)/R_N, 13.816414305528234e+9, 1.3071337184211224e+26 
$$((11/4)^{3/610}.R1^2)/R_N$$, ((1/np.log(2))**2.5)*R1**2)/R_N, 13.811958871705365e+9, 1.3067104241961147e+26
$$R_{a}=ƛ_e.(2.\pi^2.a^3)^5$$, ((constants.pi**2*(2*(1/constants.fine_structure)**3))**5)*(constants.hbar/(constants.m_e*constants.c)), 13.80417811516134e+9, 1.3059760854303987e+26
$$R_N.(OM.OB/n_{ph})^2$$, R_N*(OM*OB/n_ph)**2, 13.852678233132401e+9, 1.3105645508705246e+26
$$ƛ_FP^2e/8$$, lambdabar_F*P**2*e/8, 13.814149979454358e+9, 1.3069194966342527e+26
$$ƛ_FP^3/p^7$$, lambdabar_F*P**3/p**7, 13.803117607419157e+9, 1.30587575365127e+26
$$\frac{2.\hbar^2}{G.m_e.m_p^2}$$, 2*constants.hbar**2/(G_s*constants.m_e*constants.m_p**2), 13.819498813523245e+9, 1.3049688972818604e+26
$$R_{Rydberg}=\frac{(ƛ_{Ryd}.n^4)^2}{ƛ_p}$$, ((lambdabarRyd*n**4)**2)/lambdabar_p, 13.810372445537942e+9, 1.3065621143319103e+26
$$ƛ_e 2^{128} (1 - (137^2 + \pi^2 + e^2 )/pH)$$, lambdabare*2**128*(1 - (137**2 + np.pi**2 + e**2 )/p*H), , 
$$R_{ƛ_w}=ƛ_w.(\frac{2^{70}.\gamma.n^3}{\Gamma^4})^2$$, (((2**70*np.euler_gamma*n**3)/Gamma**4)**2)*ƛ_w, 13.811976947856119e+9, 1.3067139119716592e+26
$$ƛ_e 2^128 / d_e^2 (m_H /m_p )^6$$, lambdabare*2**128 / d_e**2 * (m_H /m_p )**6, , 
